id,milestone
1,ResetAccountSett
2,ABSplitProj
2,AccountSettingsA
2,ActivateAutoresp
2,AddAccountSettin
2,AddFB
2,AddImage
2,AddTwitter
2,AdvProjCreate
2,AssignAccountSet
2,AutoresponderRep
2,AutoresponderSum
2,CaptionedImages
2,ChangeAccountSet
2,CopyAutoresponde
2,CopyCrossMarkete
2,CopyProj
2,CreateAccountSet
2,CreateAutorespon
2,CreateCrossMarke
2,CrossMarketerCon
2,CrossMarketerRep
2,CrossMarketerSum
2,DeactivateCrossM
2,DeleteAccountSet
2,DeleteAutorespon
2,DeleteCrossMarke
2,DeleteProj
2,EditAutoresponde
2,EditCrossMarkete
2,ImageProperties
2,ImportProjEmail
2,ImportProjFileUR
2,ManageTab
2,OpenReport
2,ProjPreview
2,ReEditProj
2,RenameAccountSet
2,RenameAutorespon
2,RenameCrossMarke
2,RenameProj
2,ReportsTab
2,ReSchedProj
2,ResetAccountSett
2,RevokeAccountSet
2,SaveAccountSetti
2,SaveAutoresponde
2,SaveCrossMarkete
2,SEBorders
2,SEDragIn
2,SEDragMove
2,SEDragResize
2,SELinkElements
2,SendLater
2,SendNow
2,SendRecurring
2,SEPadding
2,SetDefaultAccoun
2,SimpleProjCreate
2,SocialAutoPost
2,SocialShareEleme
2,testTest
2,TextOnlyProjCrea
2,UseBlankTemplate
2,ViewAccountSetti
27,AddImage
27,ManageTab
27,ReSchedProj
27,SEDragIn
27,SEDragMove
27,SEDragResize
27,SendNow
27,SimpleProjCreate
27,UploadImage
40,CopyProj
40,InsertLinkAnchor
40,InsertTableImage
40,LinkActivity
40,Location
40,ManageTab
40,OpenData
40,OpenReport
40,OpenReportList
40,OpensAndBounces
40,OpensByPlatform
40,ProjPreview
40,ReEditProj
40,ReportsTab
40,SECreateColumn
40,SEDeleteElement
40,SEDragIn
40,SEDragResize
40,SendNow
40,SEPadding
40,SpellSearch
40,TestSend
40,TxtBIUS
40,TxtFontSizeColor
40,TxtIndentJustify
40,TxtStylesFormats
40,TxtViewSource
40,UnopenedData
40,UserAgent
40,UseReportCharts
48,CopyProj
48,InsertLinkAnchor
48,InsertList
48,InsertTableImage
48,LinkActivity
48,ManageFilters
48,ManageTab
48,MobileFriendly
48,OpenReport
48,OpenReportList
48,OpensAndBounces
48,PrevMobileVersio
48,PrevTextVersion
48,ProjPreview
48,ReEditProj
48,RenameProj
48,ReportsTab
48,ReSchedProj
48,SEBackColors
48,SEBorders
48,SEDeleteElement
48,SEDragMove
48,SendNow
48,SimpleProjCreate
48,SocialShareEleme
48,SpellSearch
48,TableSort
48,TestSend
48,TextOnlyProjCrea
48,TxtBIUS
48,TxtFontSizeColor
48,TxtIndentJustify
48,TxtMergeTags
48,TxtStylesFormats
48,TxtViewSource
49,ABSplitProj
49,ABSplitTools
49,ActivateCrossMar
49,AddImage
49,CaptionedImages
49,ConditionalEleme
49,CreateCrossMarke
49,CrossMarketerRep
49,CrossMarketerSum
49,DeleteCrossMarke
49,EditCrossMarkete
49,ImageProperties
49,InsertLinkAnchor
49,ManageTab
49,OpenData
49,OpenReport
49,OpenReportList
49,OpensAndBounces
49,OpensByPlatform
49,ProjPreview
49,ReEditProj
49,ReportsTab
49,ReSchedProj
49,SaveCrossMarkete
49,SEDragIn
49,SEDragResize
49,SELinkElements
49,SendNow
49,SimpleProjCreate
49,SocialShareEleme
49,ToggleSocialSite
49,TxtFontSizeColor
49,UnopenedData
49,UploadImage
54,CaptionedImages
54,MultiImageElemen
54,ProjPreview
54,PublishTemplate
54,ReEditProj
54,SECreateColumn
54,SEDeleteElement
54,SEDragResize
54,SendNow
54,SimpleProjCreate
54,SocialShareEleme
54,TableSearch
58,ABSplitProj
58,ABSplitTools
58,AdvProjCreate
58,CrossMarketerSum
58,DeleteProj
58,ManageTab
58,MultiImageElemen
58,ProjPreview
58,ReEditProj
58,ReportsTab
58,ReSchedProj
58,SEBackColors
58,SimpleProjCreate
58,SubjectMergeTags
58,TableSearch
58,TextOnlyProjCrea
58,UseBlankTemplate
59,AdvProjCreate
59,InsertLinkAnchor
59,ManageTab
59,MobileFriendly
59,MultiImageElemen
59,OpenReport
59,PrevMobileVersio
59,PrevTextVersion
59,ProjPreview
59,ReEditProj
59,ReportsTab
59,ReSchedProj
59,SEDeleteElement
59,SEDragIn
59,SEDragMove
59,SEDragResize
59,SELinkElements
59,SendNow
59,SimpleProjCreate
59,SocialFollowElem
59,SocialShareEleme
59,TestSend
59,TxtViewSource
59,UseBlankTemplate
89,AddImage
89,AdvProjCreate
89,CaptionedImages
89,CompareReports
89,DeleteProj
89,ImageProperties
89,InsertLinkAnchor
89,InsertTableImage
89,LinkActivity
89,Location
89,ManageTab
89,OpenData
89,OpenReport
89,OpenReportList
89,OpensAndBounces
89,OpensByPlatform
89,PrevTextVersion
89,ProjPreview
89,ReEditProj
89,ReportsTab
89,ReSchedProj
89,SEDeleteElement
89,SEDragIn
89,SEDragResize
89,SELinkElements
89,SendNow
89,SEPadding
89,SetCompanyDefaul
89,SimpleProjCreate
89,SocialShareEleme
89,SubjectMergeTags
89,TestSend
89,TxtBIUS
89,TxtFontSizeColor
89,TxtIndentJustify
89,TxtMergeTags
89,TxtStylesFormats
89,TxtViewSource
89,UnopenedData
89,UploadImage
89,UserAgent
99,AddImage
99,AdvProjCreate
99,CopyProj
99,DeleteProj
99,ImageProperties
99,ImportProjFileUR
99,InsertLinkAnchor
99,InsertTableImage
99,LinkActivity
99,Location
99,ManageFilters
99,ManageTab
99,MultiImageElemen
99,OpenData
99,OpenReport
99,OpenReportList
99,OpensAndBounces
99,OpensByPlatform
99,PrevTextVersion
99,ProjPreview
99,ReEditProj
99,ReportsTab
99,ReSchedProj
99,SEBorders
99,SEDeleteElement
99,SEDragIn
99,SEDragMove
99,SEDragResize
99,SendLater
99,SendNow
99,SimpleProjCreate
99,SocialShareEleme
99,TableSearch
99,TestSend
99,TextOnlyProjCrea
99,TxtBIUS
99,TxtFontSizeColor
99,TxtIndentJustify
99,TxtMergeTags
99,TxtStylesFormats
99,TxtViewSource
99,UnopenedData
99,UploadImage
99,UserAgent
104,ProjPreview
111,MultiImageElemen
119,ReSchedProj
119,SendNow
127,AddImage
127,CopyProj
127,DeleteProj
127,ImageProperties
127,InsertLinkAnchor
127,InsertList
127,InsertTableImage
127,LinkActivity
127,Location
127,ManageTab
127,OpenData
127,OpenReport
127,OpenReportList
127,OpensAndBounces
127,OpensByPlatform
127,ProjPreview
127,PublishTemplate
127,ReEditProj
127,ReportsTab
127,SEDeleteElement
127,SEDragIn
127,SEDragMove
127,SEDragResize
127,SimpleProjCreate
127,TableSearch
127,TestSend
127,TxtBIUS
127,TxtFontSizeColor
127,TxtStylesFormats
127,UnopenedData
127,UploadImage
127,UserAgent
139,AddImage
139,AdvProjCreate
139,CopyProj
139,DeleteProj
139,InsertList
139,InsertTableImage
139,LinkActivity
139,Location
139,ManageTab
139,OpenData
139,OpenReport
139,OpenReportList
139,OpensAndBounces
139,OpensByPlatform
139,PrevMobileVersio
139,PrevTextVersion
139,ProjPreview
139,ReEditProj
139,ReportsFilters
139,ReportsTab
139,ReSchedProj
139,SEBackColors
139,SEDeleteElement
139,SEDragIn
139,SEDragMove
139,SendNow
139,SimpleProjCreate
139,SocialFollowElem
139,SubjectMergeTags
139,TestSend
139,TxtBIUS
139,TxtFontSizeColor
139,TxtIndentJustify
139,TxtMergeTags
139,TxtStylesFormats
139,TxtViewSource
139,UnopenedData
139,UserAgent
139,UseReportCharts
140,AddImage
140,CaptionedImages
140,ImageProperties
140,ManageTab
140,ReportsTab
140,ReSchedProj
140,SEDeleteElement
140,SEDragIn
140,SendNow
140,SimpleProjCreate
140,SocialShareEleme
151,AdvProjCreate
151,ProjPreview
151,ReportsTab
151,SEBackColors
151,SEDragIn
151,TxtMergeTags
152,AddImage
152,AdvProjCreate
152,DeleteProj
152,LinkActivity
152,Location
152,ManageFilters
152,ManageTab
152,OpenData
152,OpenReport
152,OpenReportList
152,OpensAndBounces
152,OpensByPlatform
152,PrevMobileVersio
152,PrevTextVersion
152,ProjPreview
152,PublishTemplate
152,ReEditProj
152,RenameProj
152,ReportsTab
152,ReSchedProj
152,SEBackColors
152,SEBorders
152,SEDeleteElement
152,SEDragMove
152,SEDragResize
152,SendLater
152,SendNow
152,SEPadding
152,SimpleProjCreate
152,TableSort
152,TestSend
152,TxtBIUS
152,TxtFontSizeColor
152,TxtIndentJustify
152,TxtStylesFormats
152,TxtViewSource
152,UnopenedData
152,UploadImage
165,AddImage
165,SEDragIn
165,SEDragResize
165,SimpleProjCreate
165,TxtBIUS
165,UploadImage
169,DeleteProj
169,ReEditProj
169,SEDeleteElement
169,SEDragResize
169,SimpleProjCreate
171,AddImage
171,CaptionedImages
171,CopyProj
171,DeleteProj
171,EditDefaultStyle
171,ImageProperties
171,InsertLinkAnchor
171,InsertList
171,InsertTableImage
171,LinkActivity
171,Location
171,ManageFilters
171,ManageTab
171,MobileFriendly
171,MultiImageElemen
171,OpenData
171,OpenReport
