DISTINCT_CUSTOMER,REVENUES,NUM_VISITS,AVG_QUANTITY,AVG_UNITPRICE,StockCode
31,525.78,51,11.5882,1.102941,10002
4,3.36,4,4.0000,0.210000,10120
1,0.65,1,1.0000,0.650000,10123C
1,1.68,1,4.0000,0.420000,10124A
1,2.10,1,5.0000,0.420000,10124G
15,200.51,39,9.4103,0.773333,10125
16,199.11,36,8.6111,0.776944,10133
32,768.86,74,13.8514,1.269054,10135
7,195.86,14,7.6429,2.405714,11001
6,42.32,15,14.8000,0.609333,15034
24,797.24,53,22.1509,1.021321,15036
6,94.34,11,6.7273,1.215455,15039
5,97.35,6,5.5000,2.950000,15044A
6,118.01,6,6.5000,3.443333,15044B
4,96.61,7,3.2857,4.607143,15044C
6,123.80,7,5.7143,3.778571,15044D
38,2646.40,71,6.3662,6.889718,15056B
43,1799.94,77,3.9221,7.060130,15056N
17,564.65,26,3.8077,7.296538,15056P
1,7.95,1,1.0000,7.950000,15058A
2,31.80,2,2.0000,7.950000,15058B
19,448.49,37,2.7297,5.494865,15060B
2,3.50,2,7.0000,0.250000,16008
1,1.44,1,12.0000,0.120000,16010
8,59.85,8,35.6250,0.210000,16011
7,45.36,7,30.8571,0.210000,16012
6,336.38,7,148.4286,0.405714,16014
2,20.50,3,13.6667,0.500000,16015
10,210.30,10,27.8000,0.837000,16016
3,43.20,3,120.0000,0.120000,16033
1,12.00,1,100.0000,0.120000,16045
2,8.50,2,5.0000,0.850000,16046
2,13.48,4,7.0000,0.742500,16048
2,14.28,3,9.6667,0.700000,16052
1,0.84,1,2.0000,0.420000,16054
2,21.00,2,25.0000,0.420000,16156L
24,262.50,24,26.0417,0.420000,16156S
1,10.50,1,25.0000,0.420000,16161M
19,210.42,20,25.0500,0.420000,16161P
17,178.50,17,25.0000,0.420000,16161U
1,0.65,1,1.0000,0.650000,16162L
4,26.08,6,9.6667,0.635000,16168M
5,52.50,5,25.0000,0.420000,16169K
2,21.00,2,25.0000,0.420000,16169M
1,10.50,1,25.0000,0.420000,16169N
2,21.00,2,25.0000,0.420000,16169P
2,8.75,2,3.5000,1.250000,16206B
1,5.90,1,2.0000,2.950000,16207A
2,8.85,2,1.5000,2.950000,16207B
3,4.45,3,7.0000,0.523333,16216
2,7.19,4,2.0000,1.637500,16218
3,10.08,4,6.7500,0.947500,16219
10,237.44,26,15.7692,1.372308,16225
9,91.32,27,13.8148,0.355185,16235
7,43.03,21,8.5714,0.354762,16236
22,216.12,52,20.5385,0.315000,16237
6,37.05,18,8.0000,0.368333,16238
8,28.56,9,7.2222,0.466667,16258A
19,745.81,32,136.5000,0.277188,17003
1,25.20,1,12.0000,2.100000,17007B
3,18.91,3,2.6667,2.803333,17011F
4,77.24,17,2.9412,2.381765,17012A
5,125.51,22,3.1364,2.417273,17012B
6,149.34,13,10.9231,2.240000,17012C
5,70.78,16,1.7500,2.516250,17012D
4,74.64,11,6.1818,2.151818,17012E
4,87.47,16,3.3750,2.373750,17012F
6,149.07,6,50.6667,1.320000,17013D
2,15.36,2,12.5000,1.930000,17014A
9,326.40,9,147.5556,0.286667,17021
1,2.52,1,6.0000,0.420000,17028J
4,19.50,4,52.5000,0.280000,17038
1,10.50,1,50.0000,0.210000,17084A
2,15.75,2,37.5000,0.210000,17084J
4,44.28,16,9.6875,0.386250,17084N
3,18.76,5,16.4000,0.342000,17084P
4,290.88,4,432.0000,0.197500,17084R
5,77.45,5,17.0000,1.090000,17090A
3,10.00,3,2.6667,1.250000,17090D
9,44.93,10,14.5000,1.038000,17091A
16,195.75,18,18.2222,1.123333,17091J
7,347.35,10,197.8000,0.293000,17096
7,102.00,7,5.7143,2.550000,17107D
1,3.38,1,2.0000,1.690000,17109D
1,31.12,8,2.3750,1.645000,17129F
1,0.84,1,4.0000,0.210000,17136A
9,12.18,10,2.9000,0.420000,17164B
7,28.35,8,4.5000,0.918750,17165D
1,0.42,1,1.0000,0.420000,17174
6,21.45,12,8.6667,0.325000,18007
3,33.72,7,2.8571,2.142857,18094C
1,2.55,1,1.0000,2.550000,18097A
14,345.69,18,7.6667,3.074444,18097C
23,821.57,52,4.4808,4.097115,18098C
8,127.24,35,1.4571,2.580000,20615
4,69.81,14,4.5000,2.200000,20616
7,56.38,14,1.8571,2.208571,20617
6,54.07,19,1.4737,2.037895,20618
7,97.38,15,6.2667,1.820000,20619
8,120.22,18,5.5000,2.527778,20622
5,84.55,29,3.1379,1.040345,20652
1,19.41,13,1.4615,1.100769,20653
9,50.54,18,2.5556,1.023333,20654
8,65.99,32,1.7188,1.352188,20655
5,7.50,5,1.2000,1.250000,20657
22,148.82,35,2.9143,1.679143,20658
5,31.09,16,1.9375,1.047500,20659
1,2.95,1,1.0000,2.950000,20661
4,50.91,12,1.5833,2.603333,20662
3,33.41,11,1.1818,2.580909,20663
3,17.70,3,2.0000,2.950000,20664
15,309.52,35,2.2857,4.627714,20665
1,2.95,1,1.0000,2.950000,20666
15,221.84,32,61.2813,0.195313,20668
14,137.39,25,3.6400,1.800400,20669
1,2.95,1,1.0000,2.950000,20670
2,12.50,2,5.0000,1.250000,20671
24,421.27,33,10.6364,1.389697,20674
29,727.00,48,12.8958,1.425417,20675
37,1359.86,72,14.2083,1.637500,20676
24,738.28,53,11.0566,1.758491,20677
39,1782.68,60,5.2000,6.220667,20679
24,360.19,34,2.9118,4.173529,20681
31,865.21,55,4.4182,4.454182,20682
9,104.81,12,2.4167,4.130000,20684
96,5117.27,145,4.8483,7.950276,20685
7,105.62,10,2.6000,4.658000,20686
1,15.24,2,1.0000,7.620000,20694
1,4.25,1,1.0000,4.250000,20695
3,103.55,16,1.6250,4.181250,20696
3,7.65,3,1.0000,2.550000,20697
2,7.65,2,1.5000,2.550000,20698
3,209.93,32,2.3438,3.132813,20699
2,43.71,5,1.0000,8.742000,20700
1,3.75,1,1.0000,3.750000,20701
6,127.50,7,4.2857,4.250000,20702
14,285.18,16,8.6250,2.955000,20704
9,202.80,10,10.4000,1.950000,20705
4,22.32,10,1.1000,2.107000,20707
32,1831.94,71,12.1408,3.055352,20711
52,2156.95,94,9.2553,2.899894,20712
57,2439.43,106,11.9151,2.692642,20713
10,111.23,16,5.0625,1.795000,20716
27,912.68,77,11.3636,1.526104,20717
39,1269.19,68,11.0735,1.911029,20718
51,2767.33,118,16.7288,1.292034,20719
37,1384.81,82,10.7805,1.440610,20723
66,2597.42,124,14.4032,1.270484,20724
111,4164.24,179,13.6536,2.440670,20725
75,2439.71,113,10.6991,2.291239,20726
82,2471.00,140,9.2357,2.401429,20727
78,2213.33,118,10.2034,2.323644,20728
2,5.00,2,2.0000,1.250000,20731
10,552.40,43,17.2558,0.839767,20733
1,176.68,15,6.6667,1.929333,20734
5,274.92,36,6.5278,1.116667,20735
8,139.86,9,6.0000,8.880000,20748
42,1649.79,53,4.3208,7.777170,20749
54,2566.26,71,5.0423,7.907183,20750
31,463.91,50,4.5200,2.427800,20751
28,285.60,40,3.0000,2.676250,20752
46,638.18,75,3.3867,2.795867,20754
7,50.80,10,5.5000,1.174000,20755
1,2.55,1,3.0000,0.850000,20756
6,23.80,8,3.5000,0.850000,20757
4,16.15,4,4.7500,0.850000,20758
3,6.80,3,2.6667,0.850000,20759
2,3.40,2,2.0000,0.850000,20760
9,75.24,10,1.8000,4.524000,20761
12,97.70,14,1.6429,4.567857,20762
6,48.83,7,1.5714,4.832857,20763
11,108.95,14,1.8571,4.567857,20764
11,63.87,13,1.2308,4.047692,20765
7,60.44,11,1.0000,5.494545,20766
9,101.52,13,2.5385,3.314615,20767
4,38.17,5,2.6000,3.052000,20768
3,25.08,3,2.3333,3.353333,20769
8,181.09,23,3.3913,2.493913,20770
3,15.30,3,2.0000,2.550000,20771
10,81.48,15,1.9333,3.052000,20772
6,33.00,7,2.8571,1.650000,20773
7,23.10,8,1.7500,1.650000,20774
3,38.43,5,3.0000,2.676000,20775
8,26.52,9,1.5556,2.030000,20777
5,16.50,5,2.0000,1.650000,20778
5,177.12,13,2.3077,7.156154,20780
5,73.89,6,1.8333,6.990000,20781
6,165.24,9,2.8889,6.490000,20782
1,9.99,1,1.0000,9.990000,20785
1,6.75,1,1.0000,6.750000,20793
2,17.63,4,1.0000,4.407500,20794
2,16.73,2,3.5000,3.115000,20795
6,75.60,6,6.8333,1.750000,20798
15,616.99,37,12.6486,2.015405,20801
12,221.70,15,20.1333,1.604667,20802
8,191.45,11,37.6364,1.215455,20803
2,30.20,4,1.2500,6.612500,20818
3,31.13,8,1.3750,2.795000,20819
1,14.85,1,3.0000,4.950000,20820
2,25.44,2,6.0000,2.120000,20826
35,536.21,43,4.5349,2.839535,20828
22,428.36,30,6.6667,2.378667,20829
6,156.01,13,3.6923,3.380000,20830
3,58.32,5,4.0000,3.334000,20831
15,155.43,40,4.4250,0.969000,20832
1,9.99,1,1.0000,9.990000,20835
2,54.79,4,2.5000,7.680000,20839
1,9.32,1,1.0000,9.320000,20840
2,12.70,2,1.0000,6.350000,20845
9,158.69,15,6.8667,1.831333,20846
2,45.16,4,2.0000,6.612500,20847
1,11.80,1,4.0000,2.950000,20848
1,0.00,1,1.0000,0.000000,20849
1,11.90,1,2.0000,5.950000,20851
14,368.17,38,6.1316,1.688421,20854
8,144.97,26,3.3846,1.645385,20856
5,42.90,5,5.2000,1.650000,20857
1,2.10,1,1.0000,2.100000,20860
2,4.20,2,1.0000,2.100000,20861
8,309.55,39,7.8718,1.123077,20866
6,227.48,39,5.3333,1.321282,20867
3,51.50,11,5.2727,0.915455,20868
1,17.32,6,3.1667,0.911667,20869
1,8.42,1,2.0000,4.210000,20871
8,31.25,9,3.0000,1.111111,20878
18,239.89,30,3.5667,2.768000,20886
2,39.96,3,1.3333,9.990000,20892
5,345.57,6,26.5000,3.220000,20893
2,11.80,2,2.0000,2.950000,20894
3,47.24,6,2.0000,4.923333,20897
1,38.35,2,6.5000,2.950000,20898
2,152.56,13,1.2308,9.710000,20902
3,55.37,5,1.4000,8.534000,20903
1,2.95,1,1.0000,2.950000,20906
2,50.80,3,2.6667,6.350000,20910
81,3233.92,118,9.7288,3.491356,20914
4,106.20,12,1.5000,6.330000,20931
3,49.23,5,1.8000,6.072000,20932
2,15.00,2,2.0000,3.750000,20933
4,52.68,5,1.6000,7.266000,20934
5,53.13,7,2.1429,4.218571,20936
4,18.78,5,2.4000,1.754000,20941
1,0.00,1,1.0000,0.000000,20950
1,16.94,2,1.0000,8.470000,20954
9,199.04,26,15.8846,2.023846,20956
1,67.57,8,3.3750,2.497500,20960
26,541.24,56,6.7679,1.874643,20961
27,628.59,65,6.6000,1.843231,20963
27,725.39,75,6.2800,1.897200,20966
41,619.27,51,3.0980,4.199020,20967
32,594.35,51,2.8627,4.603333,20969
32,481.68,48,2.3750,4.717500,20970
53,1191.96,73,13.6712,1.512329,20971
59,1032.37,93,8.5484,1.581290,20972
37,374.92,61,8.2459,0.875738,20973
51,476.93,72,9.4722,0.814583,20974
55,770.82,86,12.5581,0.866977,20975
22,167.50,22,6.0909,1.250000,20977
22,156.24,31,3.7419,1.571935,20978
22,278.55,30,7.1000,1.576000,20979
5,11.25,5,1.8000,1.250000,20980
22,139.04,32,4.8438,1.027188,20981
27,154.70,30,6.0667,0.850000,20982
25,180.20,30,7.0667,0.850000,20983
8,24.65,9,3.2222,0.850000,20984
19,424.49,32,11.1250,1.633125,20985
6,81.40,13,3.4615,1.730769,20986
15,88.16,18,5.4444,0.985000,20992
9,53.71,24,4.3333,0.575833,20996
5,130.18,19,2.1579,3.356842,20998
4,104.89,16,1.8125,3.513750,21000
2,73.23,12,1.4167,4.348333,21001
2,249.35,38,1.9474,3.353947,21002
1,12.70,1,2.0000,6.350000,21003
1,1.25,2,1.0000,0.625000,21009
3,29.00,3,6.6667,1.450000,21011
9,626.29,46,5.5870,2.415652,21012
9,146.69,24,6.6667,1.099583,21014
1,45.96,17,2.1176,1.276471,21015
5,22.06,7,3.4286,1.087143,21018
5,88.36,29,2.7586,1.127931,21025
